"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
0.76,0.602,7,-4.871,1,0.0316,0.00661,0.000133,0.325,0.685,116.989,"audio_features","1hR8BSuEqPCCZfv93zzzz9","spotify:track:1hR8BSuEqPCCZfv93zzzz9","https://api.spotify.com/v1/tracks/1hR8BSuEqPCCZfv93zzzz9","https://api.spotify.com/v1/audio-analysis/1hR8BSuEqPCCZfv93zzzz9",212600,4
0.732,0.719,0,-5.469,1,0.0645,0.0901,0,0.331,0.71,96.035,"audio_features","45wMBGri1PORPjM9PwFfrS","spotify:track:45wMBGri1PORPjM9PwFfrS","https://api.spotify.com/v1/tracks/45wMBGri1PORPjM9PwFfrS","https://api.spotify.com/v1/audio-analysis/45wMBGri1PORPjM9PwFfrS",231833,4
0.514,0.821,7,-4.803,1,0.0444,0.000456,0.0232,0.0946,0.298,94.884,"audio_features","1hjRhYpWyqDpPahmSlUTlc","spotify:track:1hjRhYpWyqDpPahmSlUTlc","https://api.spotify.com/v1/tracks/1hjRhYpWyqDpPahmSlUTlc","https://api.spotify.com/v1/audio-analysis/1hjRhYpWyqDpPahmSlUTlc",231000,4
0.544,0.884,7,-5.973,1,0.0383,0.000466,0.000134,0.381,0.184,91.981,"audio_features","045ZeOHPIzhxxsm8bq5kyE","spotify:track:045ZeOHPIzhxxsm8bq5kyE","https://api.spotify.com/v1/tracks/045ZeOHPIzhxxsm8bq5kyE","https://api.spotify.com/v1/audio-analysis/045ZeOHPIzhxxsm8bq5kyE",235800,4
0.589,0.713,0,-5.614,1,0.0308,0.000778,0,0.188,0.54,97.069,"audio_features","6GXgd1BPD9bUpqw5AntGV5","spotify:track:6GXgd1BPD9bUpqw5AntGV5","https://api.spotify.com/v1/tracks/6GXgd1BPD9bUpqw5AntGV5","https://api.spotify.com/v1/audio-analysis/6GXgd1BPD9bUpqw5AntGV5",193289,4
0.632,0.805,7,-5.707,1,0.069,0.0112,2.51e-05,0.156,0.903,160.052,"audio_features","3pv7Q5v2dpdefwdWIvE7yH","spotify:track:3pv7Q5v2dpdefwdWIvE7yH","https://api.spotify.com/v1/tracks/3pv7Q5v2dpdefwdWIvE7yH","https://api.spotify.com/v1/audio-analysis/3pv7Q5v2dpdefwdWIvE7yH",219209,4
0.671,0.853,0,-6.568,1,0.0417,0.00388,9.48e-06,0.0812,0.523,118.032,"audio_features","43y1WpBdnEy5TR9aZoSQL9","spotify:track:43y1WpBdnEy5TR9aZoSQL9","https://api.spotify.com/v1/tracks/43y1WpBdnEy5TR9aZoSQL9","https://api.spotify.com/v1/audio-analysis/43y1WpBdnEy5TR9aZoSQL9",207650,4
0.624,0.711,7,-6.347,1,0.159,0.0369,3.13e-06,0.19,0.347,169.999,"audio_features","64FzgoLZ3oXu2SriZblHic","spotify:track:64FzgoLZ3oXu2SriZblHic","https://api.spotify.com/v1/tracks/64FzgoLZ3oXu2SriZblHic","https://api.spotify.com/v1/audio-analysis/64FzgoLZ3oXu2SriZblHic",211104,4
0.587,0.663,8,-7.439,1,0.0598,0.0348,9.95e-05,0.0971,0.539,139.993,"audio_features","1K39ty6o1sHwwlZwO6a7wK","spotify:track:1K39ty6o1sHwwlZwO6a7wK","https://api.spotify.com/v1/tracks/1K39ty6o1sHwwlZwO6a7wK","https://api.spotify.com/v1/audio-analysis/1K39ty6o1sHwwlZwO6a7wK",220433,4
0.761,0.67,5,-5.956,1,0.0537,0.00198,1.08e-05,0.0873,0.519,120.014,"audio_features","75W3SngKzTuoQ94uLf3y82","spotify:track:75W3SngKzTuoQ94uLf3y82","https://api.spotify.com/v1/tracks/75W3SngKzTuoQ94uLf3y82","https://api.spotify.com/v1/audio-analysis/75W3SngKzTuoQ94uLf3y82",247533,4
